Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
Dec-20,Dec-21,YTD 2020,YTD 2021,,Dayton Aviation Heritage NHP,"10,230","14,735","4,505","39,851","65,735","25,884", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,De Soto NMEM,"19,677","28,074","8,397","196,114","222,380","26,266", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Death Valley NP,"94,098","114,502","20,404","820,023","1,146,551","326,528", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Delaware Water Gap NRA,"193,832","185,564","-8,268","4,068,529","4,340,902","272,373", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Denali NP & PRES,4,9,5,"54,850","201,685","146,835", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Devils Postpile NM,0,0,0,"108,590","145,387","36,797", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Devils Tower NM,"5,354","3,913","-1,441","423,997","550,712","126,715", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Dinosaur NM,"6,008","4,468","-1,540","264,145","359,560","95,415", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Dry Tortugas NP,"6,395",819,"-5,576","48,543","71,832","23,289", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Dwight D. Eisenhower MEM,,,0,,,0, Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Edgar Allan Poe NHS,0,0,0,"2,418",0,"-2,418", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Effigy Mounds NM,"1,300","1,708",408,"18,225","66,734","48,509", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Eisenhower NHS,6,218,212,"7,926","16,915","8,989", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,El Malpais NM,"8,913","7,828","-1,085","139,336","181,729","42,393", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,El Morro NM,"2,390","2,408",18,"36,328","66,734","30,406", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Eleanor Roosevelt NHS,498,956,458,"9,575","12,416","2,841", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Eugene O'Neill NHS,"1,450","1,504",54,"14,423","22,655","8,232", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Everglades NP,"79,579","61,542","-18,037","702,319","911,898","209,579", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Federal Hall NMEM,0,0,0,"13,822","4,583","-9,239", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fire Island NS,"17,852","7,498","-10,354","250,449","224,927","-25,522", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,First Ladies NHS,48,814,766,"2,406","6,562","4,156", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Flight 93 NMEM,"5,020","11,386","6,366","244,364","401,810","157,446", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Florissant Fossil Beds NM,"1,895","2,113",218,"61,081","75,129","14,048", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Ford's Theatre NHS,0,"19,221","19,221","56,058","101,146","45,088", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Bowie NHS,787,751,-36,"6,456","9,280","2,824", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Caroline NMEM,"23,036","37,784","14,748","404,476","323,852","-80,624", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Davis NHS,"2,702","3,725","1,023","35,920","48,164","12,244", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Donelson NB,"13,959","35,092","21,133","325,496","372,488","46,992", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Frederica NM,"17,303","14,561","-2,742","210,892","165,524","-45,368", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Laramie NHS,725,925,200,"26,066","42,905","16,839", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Larned NHS,926,"1,020",94,"21,895","29,442","7,547", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Matanzas NM,"32,778","40,781","8,003","543,590","562,114","18,524", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort McHenry NM & HS,"7,198","7,046",-152,"163,224","150,075","-13,149", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Necessity NB,"4,688","4,936",248,"199,801","332,603","132,802", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Point NHS,"90,102","78,303","-11,799","884,538","947,238","62,700", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Pulaski NM,"30,658","32,273","1,615","357,970","419,482","61,512", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Raleigh NHS,"9,310","10,004",694,"153,519","293,447","139,928", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Scott NHS,720,"1,237",517,"14,652","22,894","8,242", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Smith NHS,"4,342","6,024","1,682","67,574","99,854","32,280", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Stanwix NM,659,"1,053",394,"24,134","45,684","21,550", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Sumter and Fort Moultrie NHP,"27,672","26,481","-1,191","365,133","349,492","-15,641", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Union NM,320,446,126,"5,334","12,618","7,284", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Union Trading Post NHS,48,28,-20,"5,225","11,479","6,254", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Vancouver NHS,"39,308","51,447","12,139","670,111","850,526","180,415", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fort Washington Park,"24,893","20,287","-4,606","160,289","636,276","475,987", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
Dec-20,Dec-21,YTD 2020,YTD 2021,,Fossil Butte NM,138,162,24,"13,176","21,153","7,977", Total,"13,651,336","15,850,602","2,199,266","236,763,581","288,286,704","51,523,123"
